,zero_percentage,mean,median,std,max,min,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99,threshold,n_extreme_values,extreme_percentage,max_value,extreme_mean
Change Approval for Purchase Order -> Change Price,98.37133550488599,0.20521172638436483,0.0,2.205216380560137,35,0,0.0,0.0,0.0,0.0,4.759999999999991,4.759999999999991,4.0,1.3029315960912053,35.0,15.5
Receive Order Confirmation -> Record Invoice Receipt,96.74267100977198,0.05211726384364821,0.0,0.31913958969003203,3,0,0.0,0.0,0.0,0.0,1.9399999999999977,1.9399999999999977,4.0,1.3029315960912053,3.0,2.5
Change Price -> ■,91.85667752442997,0.19218241042345277,0.0,0.9104714676556791,10,0,0.0,0.0,0.0,1.0,3.9399999999999977,3.9399999999999977,4.0,1.3029315960912053,10.0,6.75
Delete Purchase Order Item -> Change Quantity,93.48534201954396,0.10423452768729642,0.0,0.5134291198957113,6,0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.9771986970684038,6.0,4.333333333333333
Vendor creates invoice -> Create Purchase Requisition Item,96.41693811074919,0.0781758957654723,0.0,0.5833299117592327,9,0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.32573289902280134,9.0,9.0
Create Purchase Order Item -> Release Purchase Order,99.3485342019544,0.504885993485342,0.0,6.527654262190926,101,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6514657980456027,101.0,77.5
Release Purchase Order -> Change Approval for Purchase Order,98.37133550488599,1.0325732899022801,0.0,8.389550430650836,101,0,0.0,0.0,0.0,0.0,54.0,54.0,1.0,0.32573289902280134,101.0,101.0
Change Approval for Purchase Order -> Block Purchase Order Item,99.6742671009772,0.3289902280130293,0.0,5.764374469907088,101,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32573289902280134,101.0,101.0
Change Approval for Purchase Order -> Receive Order Confirmation,95.11400651465797,1.6742671009771988,0.0,12.227343555537992,174,0,0.0,0.0,0.0,0.0,32.0,32.0,3.0,0.9771986970684038,174.0,104.33333333333333
Change Approval for Purchase Order -> Release Purchase Order,99.0228013029316,0.5276872964169381,0.0,5.3206081824645635,54,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9771986970684038,54.0,54.0
Remove Payment Block -> ■,85.66775244299674,4.850162866449511,0.0,25.723206600587826,284,0,0.0,0.0,4.0,23.399999999999977,105.21999999999997,105.21999999999997,4.0,1.3029315960912053,284.0,194.0
Clear Invoice -> Remove Payment Block,99.0228013029316,0.28013029315960913,0.0,4.2679489474761,74,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9771986970684038,74.0,28.666666666666668
Change Price -> Cancel Goods Receipt,99.0228013029316,0.23452768729641693,0.0,2.7159141304123318,40,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9771986970684038,40.0,24.0
Receive Order Confirmation -> ■,93.81107491856677,0.44625407166123776,0.0,5.4045076780800425,94,0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,0.6514657980456027,94.0,51.0
Change Price -> Receive Order Confirmation,99.3485342019544,0.247557003257329,0.0,4.280670060764509,75,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6514657980456027,75.0,38.0
Vendor creates invoice -> ■,99.6742671009772,0.035830618892508145,0.0,0.6278031600888853,11,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32573289902280134,11.0,11.0
Create Purchase Requisition Item -> Release Purchase Requisition,97.06840390879479,0.5439739413680782,0.0,3.4603998559006763,35,0,0.0,0.0,0.0,0.0,19.939999999999998,19.939999999999998,4.0,1.3029315960912053,35.0,25.25
Release Purchase Requisition -> Create Purchase Order Item,97.71986970684038,0.5439739413680782,0.0,3.8924077061572975,42,0,0.0,0.0,0.0,0.0,25.519999999999982,25.519999999999982,4.0,1.3029315960912053,42.0,31.25
